sample,rep,genome,infected,dpi
Rep2-BO-NTG-24h,2,NTG,uninfected,1
Rep2-BO-TG-24h,2,TG,uninfected,1
Rep2-PF-TG-24h,2,TG,infected,1
Rep2-PF-NTG-7d,2,NTG,infected,6
Rep2-PF-NTG-24h,2,NTG,infected,1
Rep2-PF-TG-7d,2,TG,infected,6
Rep4-PF-TG-7d,3,TG,infected,6
Rep4-Bo-NTG-7d,3,NTG,uninfected,6
Rep4-Bo-TG-24h,3,TG,uninfected,1
Rep4-Bo-NTG-24h,3,NTG,uninfected,1
Rep4-PF-NTG-7d,3,NTG,infected,6
Rep4-Bo-TG-7d,3,TG,uninfected,6
Rep1-BO-NTG-24h,1,NTG,uninfected,1
Rep1-BO-NTG-6d,1,NTG,uninfected,6
Rep1-BO-TG-24h,1,TG,uninfected,1
Rep1-BO-TG-6d,1,TG,uninfected,6
Rep1-PF-NTG-24h,1,NTG,infected,1
Rep1-PF-NTG-6d,1,NTG,infected,6
Rep1-PF-TG-24h,1,TG,infected,1
Rep1-PF-TG-6d,1,TG,infected,6
